611	0.518	0.599	0.554	0.501	0.921	0.068	1.843
613	0.57	0.78	0.69	0.664	0.99	0.068	1.857
615	0.493	0.649	0.571	0.515	0.94	0.068	1.964
617	0.53	0.696	0.573	0.511	0.95	0.069	2.266
619	0.5	0.656	0.531	0.547	0.981	0.069	1.919
621	0.502	0.659	0.576	0.522	0.937	0.069	1.852
623	0.558	1.07	0.637	0.576	0.969	0.072	1.984
625	0.542	0.629	0.585	0.528	0.975	0.071	2.049
627	0.568	0.662	0.553	0.539	0.971	0.072	2.237
629	0.551	0.634	0.636	0.558	1.059	0.07	2.277
631	0.544	0.667	0.571	0.564	0.983	0.069	2.011
633	0.546	0.674	0.565	0.558	0.993	0.072	1.935
635	0.541	0.678	0.581	0.549	0.988	0.072	2.104
637	0.56	0.68	0.557	0.591	0.988	0.071	1.881
639	0.532	0.767	0.57	0.538	1.025	0.072	1.89
641	0.598	0.648	0.573	0.549	0.966	0.071	1.833
643	0.618	0.798	0.542	0.563	0.98	0.071	2.624
645	0.645	0.7	0.593	0.531	0.978	0.072	2.138
647	0.579	0.7	0.552	0.559	0.971	0.073	1.92
649	0.547	0.741	0.631	0.537	0.991	0.073	2.007
651	0.615	0.714	0.572	0.578	0.994	0.072	1.924
653	0.554	0.711	0.609	0.556	1.004	0.073	2.034
655	0.568	0.854	0.852	0.546	0.978	0.073	1.935
657	0.593	0.693	0.56	0.57	1.009	0.072	1.847
659	0.564	0.722	0.609	0.544	1.007	0.072	1.831
661	0.601	0.687	0.858	0.571	1.007	0.075	1.987
663	0.614	0.831	0.631	0.591	1.014	0.074	2.232
665	0.6	0.713	0.591	0.554	1.047	0.076	1.982
667	0.596	0.725	0.611	0.575	1.052	0.077	1.846
669	0.612	0.7	0.624	0.57	1.017	0.075	1.856
671	0.584	0.733	0.575	0.553	1.021	0.074	2.053
673	0.64	0.777	0.911	0.585	1.067	0.075	2.1
675	0.609	0.739	0.576	0.576	1.037	0.076	1.862
677	0.626	0.711	0.616	0.575	1.052	0.076	2.004
679	0.657	0.709	0.601	0.568	1.077	0.076	1.847
681	0.611	0.747	0.604	0.587	1.029	0.076	2.438
683	0.605	0.864	0.642	0.594	1.099	0.076	2.091
685	0.608	0.746	0.63	0.556	1.042	0.107	1.87
687	0.651	0.746	0.577	0.648	1.029	0.077	2.258
689	1.059	0.723	0.628	0.584	1.132	0.084	2.23
691	0.723	0.805	0.594	0.598	1.057	0.076	2.208
693	0.67	0.813	0.603	1.138	3.489	0.255	6.276
695	2.159	2.629	1.977	1.923	3.639	0.258	6.422
697	1.468	1.538	1.143	1.141	1.979	0.151	3.613
699	1.248	1.56	1.149	1.111	2.031	0.153	3.919
701	1.274	1.678	1.167	1.159	2.175	0.194	2.151
703	0.691	0.818	0.584	0.602	1.111	0.079	1.887
705	0.688	0.789	0.603	0.639	1.061	0.125	1.963
707	0.695	0.807	0.622	0.594	1.06	0.078	1.972
709	0.65	0.831	0.617	0.555	1.1	0.096	2.181
711	0.636	0.847	0.616	0.561	1.157	0.077	1.924
713	0.649	1	0.633	0.606	1.069	0.08	1.906
715	0.662	0.861	0.629	0.567	1.073	0.117	1.854
717	0.695	0.842	0.74	0.691	1.14	0.083	2.49
719	0.711	0.844	0.614	0.6	1.102	0.08	2.17
721	0.701	0.854	0.631	0.581	1.316	0.118	1.898
723	0.686	0.852	0.641	0.578	1.176	0.139	2.064
725	0.709	0.892	0.657	0.627	1.092	0.081	1.909
727	0.683	0.923	0.632	0.619	1.087	0.082	2.813
729	0.712	0.896	0.623	0.573	1.12	0.081	1.944
731	0.691	0.909	0.656	0.613	1.137	0.082	1.891
733	0.696	0.908	0.854	0.632	1.127	0.083	2.359
735	0.966	1.052	0.682	0.668	1.139	0.083	2.323
737	1.269	1.322	0.903	0.589	1.111	0.083	2.169
739	0.739	0.926	0.597	0.604	1.182	0.085	2.706
741	0.762	0.93	0.663	0.597	1.136	0.083	2.981
743	0.749	0.948	0.645	0.588	1.153	0.083	1.961
745	0.716	0.949	0.653	0.739	1.2	0.084	2.121
747	0.767	0.947	0.603	0.621	1.193	0.084	1.969
749	0.78	0.95	0.676	0.607	1.194	0.085	1.881
751	0.729	0.959	0.663	0.757	1.217	0.084	1.885
753	0.827	0.96	0.615	0.611	1.135	0.084	1.966
755	0.779	0.959	0.637	0.575	1.178	0.122	2.508
757	0.817	0.964	0.634	0.579	1.175	0.084	2.232
759	0.745	0.97	0.653	0.617	1.172	0.085	1.902
761	0.784	1.011	0.778	0.623	1.178	0.085	1.883
763	0.789	0.982	0.653	0.587	1.172	0.123	2.098
765	0.781	0.948	0.655	0.652	1.385	0.188	2.25
767	0.759	1.051	0.679	0.637	1.292	0.109	2.231
769	0.785	0.985	0.619	0.571	1.183	0.086	1.918
771	0.767	0.977	0.632	0.622	1.166	0.086	1.9
773	0.818	0.978	0.617	0.63	1.183	0.087	2.214
775	0.805	0.99	0.697	0.657	1.255	0.088	2.42
777	2.91	3.593	2.402	2.371	4.421	0.349	6.902
779	3.065	3.785	2.404	2.381	4.439	0.319	7.041
781	2.971	3.698	2.364	2.295	3.059	0.194	4.447
783	1.781	2.175	1.519	1.384	2.676	0.194	4.621
785	1.802	2.189	1.45	1.385	2.857	0.192	4.092
787	1.772	2.237	1.412	1.362	2.615	0.192	4.036
789	1.792	2.213	1.443	1.371	2.597	0.195	2.796
791	0.851	1.308	0.711	0.637	1.198	0.121	2.128
